accident_id,occr_date,daynight,wday,assault,damaged,assault_id,damaged_id,location_id,violation_id,road_type_l_id,road_type_id,acc_type_l_id,acc_type_id,acc_type_id,acc_type_l_id,acc_type,acc_type_l_id,acc_type_l,assault_id,assault,accident_id,death,serious,injured,slight,wound,damaged_id,damaged,violation_id,violation,road_type_id,road_type_l_id,road_form,road_type_l_id,road_form_l,accident_id,assault_id,damaged_id,location_id,sido,sgg,weather_id,area_id,area_nm,measure_dt,temperature,rainfall,wind_speed,wind_direction,humidity,snow_drifts,ground_temperature
25123,00:00.0,1,토,승합차,보행자,2,1,100,20,5,6,4,9,9,4,횡단중,4,차대사람,2,승합차,25123,1,1,0,0,0,1,보행자,20,안전운전 의무 불이행,6,5,기타단일로,5,단일로,25123,2,1,100,전북,군산,220705,140,군산,00:00.0,-7.7,0,0.5,90,69,0,-4
23198,00:00.0,1,수,승용차,이륜차,10,14,100,20,5,6,3,15,15,2,기타,3,차대차,10,승용차,23198,1,1,0,0,0,14,이륜차,20,안전운전 의무 불이행,6,5,기타단일로,5,단일로,23198,10,14,100,전북,군산,222345,140,군산,00:00.0,14.3,0,4.9,290,59,0,25.5
26708,00:00.0,2,금,승용차,보행자,10,1,100,20,1,9,4,15,15,2,기타,4,차대사람,10,승용차,26708,1,1,0,0,0,1,보행자,20,안전운전 의무 불이행,9,1,교차로내,1,교차로,26708,10,1,100,전북,군산,225552,140,군산,00:00.0,18.8,0,2,20,82,0,17.6
32088,00:00.0,1,토,화물차,화물차,8,15,157,19,5,6,3,10,10,3,진행중 추돌,3,차대차,8,화물차,32088,1,1,0,0,0,15,화물차,19,안전거리 미확보,6,5,기타단일로,5,단일로,32088,8,15,157,대구,대구,230834,143,대구,00:00.0,11.9,0,2.7,270,60,0,13.8
27830,00:00.0,1,일,원동기장치자전거,화물차,3,15,157,2,1,9,3,5,5,3,정면충돌,3,차대차,3,원동기장치자전거,27830,1,1,0,0,0,15,화물차,2,신호위반,9,1,교차로내,1,교차로,27830,3,15,157,대구,대구,233045,143,대구,00:00.0,22,8.5,3.2,110,94,0,25
29909,00:00.0,1,금,승용차,원동기장치자전거,10,2,157,20,5,6,3,15,15,2,기타,3,차대차,10,승용차,29909,1,1,0,0,0,2,원동기장치자전거,20,안전운전 의무 불이행,6,5,기타단일로,5,단일로,29909,10,2,157,대구,대구,234010,143,대구,00:00.0,22.2,0.5,3,140,90,0,23.7
27145,00:00.0,1,토,승용차,이륜차,10,14,157,20,1,9,3,5,5,3,정면충돌,3,차대차,10,승용차,27145,1,1,0,0,0,14,이륜차,20,안전운전 의무 불이행,9,1,교차로내,1,교차로,27145,10,14,157,대구,대구,234532,143,대구,00:00.0,19.2,0,3.2,140,83,0,23.5
28530,00:00.0,2,월,승용차,보행자,10,1,157,20,5,6,4,15,15,2,기타,4,차대사람,10,승용차,28530,1,1,0,0,0,1,보행자,20,안전운전 의무 불이행,6,5,기타단일로,5,단일로,28530,10,1,157,대구,대구,234589,143,대구,00:00.0,21.4,0,2.9,270,74,0,20
26181,00:00.0,1,월,승용차,보행자,10,1,157,2,5,6,4,9,9,4,횡단중,4,차대사람,10,승용차,26181,1,1,0,0,0,1,보행자,2,신호위반,6,5,기타단일로,5,단일로,26181,10,1,157,대구,대구,235920,143,대구,00:00.0,9.1,0,2.2,270,46,0,6.6
26621,00:00.0,1,수,원동기장치자전거,승용차,3,16,157,2,1,9,3,18,18,3,측면직각충돌,3,차대차,3,원동기장치자전거,26621,1,1,0,0,0,16,승용차,2,신호위반,9,1,교차로내,1,교차로,26621,3,16,157,대구,대구,236814,143,대구,00:00.0,-0.9,0,3.3,290,29,0,7
25598,00:00.0,2,일,승용차,보행자,10,1,157,20,5,6,4,9,9,4,횡단중,4,차대사람,10,승용차,25598,1,1,0,0,0,1,보행자,20,안전운전 의무 불이행,6,5,기타단일로,5,단일로,25598,10,1,157,대구,대구,236901,143,대구,00:00.0,-1.8,0,2.1,320,57,0,-4.1
